Schmeer ,lard,fat,Stück (Piece),29.5,,9.5,29.5,,,,,,11,11,,,4,,,9,,,,,,2,,1,,,,,,,
Schweinschmalz,lard,fat,Stof,177,,177,88,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Schweinköpffe,pig heads,meat,Stück (Piece),190.5,190.5,142.5,145.5,,,,,,89,2,,,9,,4,,,2,,,,,,7,,,,,,,
Rindtzung,cow tongue,meat ,Stof (1/192 of a Fass),476,60,168,328,,,,120,18,476,275,,46,11,4,,,,,,,,,,,,,,,,,
Hirschzungen,deer tongue,meat,Stück (Piece),41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putter,butter,fat,Stof (1/192 of a Fass),19020,8619.5,4828.5,7978,192,,,48,710,19020,9320,,340.5,365.5,30,504,276,,48,,,,1128,,3720,72,,,,,72,120
Schaafenkombst / Schäfen Kumbst,?,meat (other),Stof (1/192 of a Fass),41555,528,41555,240,72,,,144,192,,,,0,0,,,,,,,,,,,,,,,,,,
Glumse,Quark,Dairy,Stof (1/192 of a Fass),340,340,312,216,168,,,0,,,168,,0,264,,168,,,,,,,,,,,,,,,,
Holländische Kese,Gouda Cheese,Dairy,Stück (Piece),125,13,2,52,,,,0,,125,43,,14,2,,,,,,,,,1,,,,,,,,,
Grose Schaaffkese ,Big sheep cheese,Dairy,Stück (Piece),22,22,4,10,,,,0,,5,,,0,,,,,,,,,,,,,,,,,,,
Kleine Schaaffkese,Small sheep cheese,Dairy,Stück (Piece),1071,1071,204,515,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,
Knapkese / Knabkese,B'burg hard cheese,Dairy,Stück (Piece),21785,17195,5635,21785,,,,0,,15700,2640,,1800,,128,5160,3780,1560,1200,,840,840,,960,,960,120,960,960,960,,1080
Frische Fische: Karpffen,carp,fish,Stück (Piece),12925,10825,1809,3077,,,,64,0,12925,3598,,36,,15,,,,,,,,,,,,,,,,,
Frische Fische: Hecht,pike,fish,Stück (Piece),12547,6322,4035,10578,,,,2.5,59,12547,3221,,285,24,16,,,,,,,,172,,,,,,,,,
Frische Fische: Lächße,salmon,fish,Stück (Piece),308,308,56.5,165.5,,,,,,242,20,,4,1,,,,,,,,,22,,,,,,,,,
Karausen/Caraussen/Carussen,?,fish,Stück (Piece),4560,1267,,1000,,,,0,,4560,360,,,260,,,,,,,,,,,,,,,,,,
